"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.651095290E-1,-2.274491638E-1,9.292196274E0,4.285621047E-1,9.304854120E0
8.671086290E-1,1.771709323E-1,9.170091629E0,6.464344859E-1,9.194555322E0
8.691086290E-1,8.283938169E-1,8.873210907E0,5.554547906E-1,8.929089435E0
8.711077620E-1,8.283938169E-1,8.873210907E0,5.554547906E-1,8.929089435E0
8.731069280E-1,8.283938169E-1,8.873210907E0,5.554547906E-1,8.929089435E0
8.751069610E-1,7.422025204E-1,8.882787704E0,4.070142806E-1,8.923028780E0
8.771069940E-1,6.368576288E-1,8.916306496E0,3.184288144E-1,8.944691502E0
8.791070270E-1,8.044517636E-1,8.923488617E0,3.519476354E-1,8.966585687E0
8.811070600E-1,1.060631394E0,8.909123421E0,4.979939461E-1,8.985845372E0
8.831070930E-1,1.869871497E0,8.753500938E0,8.307880163E-1,8.989460875E0
8.851070930E-1,2.463633537E0,8.511686325E0,1.199495077E0,8.941872441E0
8.871070930E-1,2.978386879E0,8.353669167E0,1.599326730E0,9.011793547E0
